Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
06/06/2026 21:41:38,System.Runtime,dotnet.timer.count ({timer}),Metric,28
06/06/2026 21:41:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
06/06/2026 21:41:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
06/06/2026 21:41:38,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
06/06/2026 21:41:38,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0.0011864999999999792
06/06/2026 21:41:39,System.Runtime,dotnet.jit.compiled_il.size (By / 1 sec),Rate,57
06/06/2026 21:41:39,System.Runtime,dotnet.process.memory.working_set (By),Metric,213155840
06/06/2026 21:41:39,System.Runtime,dotnet.jit.compiled_methods ({method} / 1 sec),Rate,1
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=loh],Metric,524344
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen2],Metric,688944
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen1],Metric,2386568
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=poh],Metric,157895840
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.size (By)[gc.heap.generation=gen0],Metric,843064
06/06/2026 21:41:39,System.Runtime,dotnet.monitor.lock_contentions ({contention} / 1 sec),Rate,7
06/06/2026 21:41:39,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=system],Rate,0.002029000000000003
06/06/2026 21:41:39,System.Runtime,dotnet.process.cpu.time (s / 1 sec)[cpu.mode=user],Rate,0.010413000000000006
06/06/2026 21:41:39,System.Runtime,dotnet.thread_pool.thread.count ({thread} / 1 sec),Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.assembly.count ({assembly}),Metric,54
06/06/2026 21:41:39,System.Runtime,dotnet.thread_pool.work_item.count ({work_item} / 1 sec),Rate,312
06/06/2026 21:41:39,System.Runtime,dotnet.gc.heap.total_allocated (By / 1 sec),Rate,286528
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=loh],Metric,32
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen2],Metric,59248
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen1],Metric,13496
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=poh],Metric,0
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.heap.fragmentation.size (By)[gc.heap.generation=gen0],Metric,834800
06/06/2026 21:41:39,System.Runtime,dotnet.thread_pool.queue.length ({work_item} / 1 sec),Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.gc.last_collection.memory.committed_size (By),Metric,171589632
06/06/2026 21:41:39,System.Runtime,dotnet.process.cpu.count ({cpu}),Metric,4
06/06/2026 21:41:39,System.Runtime,dotnet.timer.count ({timer}),Metric,28
06/06/2026 21:41:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen2],Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen1],Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.gc.collections ({collection} / 1 sec)[gc.heap.generation=gen0],Rate,0
06/06/2026 21:41:39,System.Runtime,dotnet.gc.pause.time (s / 1 sec),Rate,0
06/06/2026 21:41:40,System.Runtime,dotnet.jit.compilation.time (s / 1 sec),Rate,0
